trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,10596,1000,False,7,1,0,0 79 98 170 620 799 876
1,9998,1000,False,5,0,1,0 98 197 486 580
2,11720,1000,True,6,0,0,0 48 98 190 500 667
3,9922,1000,True,6,0,0,0 30 98 171 774 944
4,13894,1000,True,5,0,0,0 28 87 204 486
5,10234,1000,True,5,0,0,0 31 98 170 618
6,13460,1000,True,6,0,0,0 30 155 235 300 700
7,10152,1000,True,6,0,0,0 48 98 168 803 946
8,12034,1000,True,5,0,0,0 30 130 157 730
9,8020,1000,False,4,0,1,31 98 213 402
10,10758,1000,True,6,0,0,0 48 98 245 446 604
11,13662,1000,True,5,0,0,0 52 83 168 894
12,10334,1000,True,6,0,0,0 66 111 158 798 817
