trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,10258,1000,True,4,0,0,0 44 120 629
1,8572,1000,True,5,0,0,0 55 132 533 1033
2,10506,1000,True,4,0,0,0 25 144 687
3,10500,1000,True,4,0,0,0 14 211 684
4,10066,1000,True,4,0,0,0 14 230 624
5,9164,1000,True,5,0,0,0 55 132 570 940
6,9486,1000,True,5,0,0,0 20 181 690 964
7,10096,1000,True,4,0,0,0 22 164 623
8,10042,1000,True,4,0,0,0 43 144 460
9,8472,1000,True,5,0,0,1 4 118 690 962
10,8684,1000,True,5,0,0,1 4 195 324 1040
11,10922,1000,True,4,0,0,0 30 119 687
12,10500,1000,True,4,0,0,0 14 211 684
13,9360,1000,True,5,0,0,0 44 118 690 964
14,10744,1000,True,4,0,0,0 14 211 685
15,10034,1000,True,4,0,0,0 18 212 459
16,8632,1000,True,4,0,0,0 15 181 691
17,10500,1000,True,4,0,0,0 14 211 684
18,8370,1000,True,4,0,0,0 15 181 690
19,7832,1000,True,4,0,0,0 15 195 557
20,7712,1000,True,4,0,0,0 53 195 314
21,7166,1000,False,4,0,1,4 195 319 1064
22,9784,1000,True,4,0,0,0 19 184 623
23,8598,1000,True,5,0,0,0 55 132 533 1032
24,8632,1000,True,4,0,0,0 15 181 691
25,9028,1000,True,4,0,0,0 28 118 691
26,9812,1000,True,4,0,0,0 17 189 623
27,7712,1000,True,4,0,0,0 53 195 314
28,7712,1000,True,4,0,0,0 53 195 314
29,8370,1000,True,4,0,0,0 15 181 690
