trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,7656,577029,True,4,0,0,0 54 195 314
1,7666,1000000,True,5,0,0,0 55 132 529 1057
2,7656,841961,True,4,0,0,0 54 195 314
3,7786,1000000,True,4,0,0,1 3 195 314
4,7798,1000000,True,5,0,0,0 55 132 561 953
5,7666,1000000,True,5,0,0,0 55 132 529 1057
6,7666,1000000,True,5,0,0,0 55 132 529 1057
7,7674,1000000,True,5,0,0,1 4 132 529 1057
8,7722,1000000,True,5,0,0,1 4 196 320 1057
9,7666,1000000,True,5,0,0,0 55 132 529 1057
10,7798,1000000,True,5,0,0,0 55 132 561 953
11,7666,1000000,True,5,0,0,0 55 132 529 1057
12,7656,817879,True,4,0,0,0 54 195 314
13,7656,662119,True,4,0,0,0 54 195 314
14,7656,586209,True,4,0,0,0 54 195 314
15,7656,845275,True,4,0,0,0 54 195 314
16,7786,1000000,True,4,0,0,1 3 195 314
17,7656,558088,True,4,0,0,0 54 195 314
18,7692,1000000,True,5,0,0,1 4 132 557 961
19,7656,532998,True,4,0,0,0 54 195 314
20,7674,1000000,True,5,0,0,1 4 132 529 1057
21,7674,1000000,True,5,0,0,1 4 132 529 1057
22,7674,1000000,True,5,0,0,1 4 132 529 1057
23,7666,1000000,True,5,0,0,0 55 132 529 1057
24,7692,1000000,True,5,0,0,1 4 132 557 961
25,7656,680042,True,4,0,0,0 54 195 314
26,7656,769508,True,4,0,0,0 54 195 314
27,7656,783259,True,4,0,0,0 54 195 314
28,7666,1000000,True,5,0,0,0 55 132 529 1057
29,7656,550614,True,4,0,0,0 54 195 314
0
