trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,8974,1000000,True,6,0,0,0 30 155 157 799 815
1,8904,768454,True,6,0,0,0 30 155 157 796 819
2,8904,724766,True,6,0,0,0 30 155 157 796 819
3,8904,653966,True,6,0,0,0 30 155 157 796 819
4,8904,649974,True,6,0,0,0 30 155 157 796 819
5,8904,937909,True,6,0,0,0 30 155 157 796 819
6,8904,748587,True,6,0,0,0 30 155 157 796 819
7,8904,689819,True,6,0,0,0 30 155 157 796 819
8,9100,1000000,True,6,0,0,0 30 155 190 296 949
9,8904,562192,True,6,0,0,0 30 155 157 796 819
10,8904,799047,True,6,0,0,0 30 155 157 796 819
11,9100,1000000,True,6,0,0,0 30 155 190 296 949
12,8904,780069,True,6,0,0,0 30 155 157 796 819
13,9132,1000000,True,6,0,0,0 30 131 157 802 949
14,8904,854286,True,6,0,0,0 30 155 157 796 819
15,8904,879555,True,6,0,0,0 30 155 157 796 819
16,8904,959896,True,6,0,0,0 30 155 157 796 819
17,8904,717562,True,6,0,0,0 30 155 157 796 819
18,8904,628597,True,6,0,0,0 30 155 157 796 819
19,8904,548575,True,6,0,0,0 30 155 157 796 819
20,8904,761814,True,6,0,0,0 30 155 157 796 819
21,8904,862394,True,6,0,0,0 30 155 157 796 819
22,8904,683309,True,6,0,0,0 30 155 157 796 819
23,8904,746203,True,6,0,0,0 30 155 157 796 819
24,8904,683031,True,6,0,0,0 30 155 157 796 819
25,8904,770672,True,6,0,0,0 30 155 157 796 819
26,8904,720055,True,6,0,0,0 30 155 157 796 819
27,8974,1000000,True,6,0,0,0 30 155 157 799 815
28,8904,868161,True,6,0,0,0 30 155 157 796 819
29,9100,1000000,True,6,0,0,0 30 155 190 296 949
