trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,11307,28,True,5,0,0,0 10 60 76 140
1,11307,15,True,5,0,0,0 10 61 76 140
2,11307,47,True,5,0,0,0 10 61 76 140
3,11307,60,True,5,0,0,0 10 60 76 140
4,11307,74,True,5,0,0,0 10 61 76 139
5,11307,14,True,5,0,0,0 10 60 76 139
6,11307,49,True,5,0,0,0 10 61 76 139
7,11307,256,True,5,0,0,0 10 60 76 140
8,11430,326,True,5,0,0,0 10 58 79 141
9,11430,426,True,5,0,0,0 10 58 79 141
10,11307,177,True,5,0,0,0 10 60 76 140
11,11307,200,True,5,0,0,0 10 61 76 140
12,11430,476,True,5,0,0,0 10 58 79 141
13,11307,47,True,5,0,0,0 10 61 76 139
14,11307,21,True,5,0,0,0 10 61 76 139
15,11307,322,True,5,0,0,0 10 61 76 140
16,11307,15,True,5,0,0,0 10 60 76 140
17,11430,351,True,5,0,0,0 10 58 79 141
18,11307,125,True,5,0,0,0 10 61 76 139
19,11307,51,True,5,0,0,0 10 60 76 139
20,11307,19,True,5,0,0,0 10 61 76 139
21,11430,426,True,5,0,0,0 10 58 79 141
22,11430,351,True,5,0,0,0 10 58 79 141
23,11307,6,True,5,0,0,0 10 61 76 139
24,11430,426,True,5,0,0,0 10 58 79 141
25,11430,401,True,5,0,0,0 10 58 79 141
26,11430,401,True,5,0,0,0 10 58 79 141
27,11307,57,True,5,0,0,0 10 61 76 140
28,11307,24,True,5,0,0,0 10 60 76 139
29,11307,13,True,5,0,0,0 10 61 76 140
