trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,7666,508,True,5,0,0,0 55 132 529 1057
1,7674,388,True,5,0,0,1 4 132 529 1057
2,7666,486,True,5,0,0,0 55 132 529 1057
3,7666,531,True,5,0,0,0 55 132 529 1057
4,7666,459,True,5,0,0,0 55 132 529 1057
5,7666,277,True,5,0,0,0 55 132 529 1057
6,7666,353,True,5,0,0,0 55 132 529 1057
7,7666,464,True,5,0,0,0 55 132 529 1057
8,7666,294,True,5,0,0,0 55 132 529 1057
9,7666,491,True,5,0,0,0 55 132 529 1057
10,7674,387,True,5,0,0,1 4 132 529 1057
11,7666,313,True,5,0,0,0 55 132 529 1057
12,7666,572,True,5,0,0,0 55 132 529 1057
13,7666,369,True,5,0,0,0 55 132 529 1057
14,7674,337,True,5,0,0,1 4 132 529 1057
15,7666,324,True,5,0,0,0 55 132 529 1057
16,7656,252,True,4,0,0,0 54 195 314
17,7666,416,True,5,0,0,0 55 132 529 1057
18,7666,372,True,5,0,0,0 55 132 529 1057
19,7666,313,True,5,0,0,0 55 132 529 1057
20,7666,428,True,5,0,0,0 55 132 529 1057
21,7666,415,True,5,0,0,0 55 132 529 1057
22,7666,348,True,5,0,0,0 55 132 529 1057
23,7666,417,True,5,0,0,0 55 132 529 1057
24,7666,424,True,5,0,0,0 55 132 529 1057
25,7674,307,True,5,0,0,1 4 132 529 1057
26,7666,316,True,5,0,0,0 55 132 529 1057
27,7666,305,True,5,0,0,0 55 132 529 1057
28,7666,346,True,5,0,0,0 55 132 529 1057
29,7674,434,True,5,0,0,1 4 132 529 1057
