trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,11307,114,True,5,0,0,0 10 60 76 139
1,11307,85,True,5,0,0,0 10 60 76 140
2,11307,43,True,5,0,0,0 10 60 76 139
3,11307,113,True,5,0,0,0 10 60 76 140
4,11307,55,True,5,0,0,0 10 60 76 139
5,11307,216,True,5,0,0,0 10 61 76 139
6,11307,149,True,5,0,0,0 10 60 76 140
7,11307,162,True,5,0,0,0 10 60 76 139
8,11307,148,True,5,0,0,0 10 60 76 139
9,11307,71,True,5,0,0,0 10 60 76 139
10,11307,112,True,5,0,0,0 10 60 76 139
11,11307,156,True,5,0,0,0 10 60 76 139
12,11307,142,True,5,0,0,0 10 60 76 139
13,11307,104,True,5,0,0,0 10 60 76 140
14,11307,90,True,5,0,0,0 10 60 76 139
15,11307,109,True,5,0,0,0 10 60 76 139
16,11307,41,True,5,0,0,0 10 60 76 139
17,11307,131,True,5,0,0,0 10 60 76 139
18,11307,117,True,5,0,0,0 10 60 76 139
19,11307,37,True,5,0,0,0 10 61 76 139
20,11307,58,True,5,0,0,0 10 60 76 139
21,11307,108,True,5,0,0,0 10 60 76 139
22,11307,65,True,5,0,0,0 10 60 76 139
23,11307,131,True,5,0,0,0 10 60 76 139
24,11307,173,True,5,0,0,0 10 60 76 139
25,11307,96,True,5,0,0,0 10 60 76 139
26,11307,145,True,5,0,0,0 10 60 76 140
27,11307,184,True,5,0,0,0 10 60 76 139
28,11307,99,True,5,0,0,0 10 60 76 139
29,11307,173,True,5,0,0,0 10 61 76 139
