trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,7656,585,True,4,0,0,0 54 195 314
1,7656,60,True,4,0,0,0 54 195 314
2,7656,55,True,4,0,0,0 54 195 314
3,7904,776,True,5,0,0,0 55 132 531 1044
4,7656,177,True,4,0,0,0 54 195 314
5,8330,576,True,4,0,0,0 29 118 690
6,7938,751,True,5,0,0,0 55 118 659 1045
7,7656,275,True,4,0,0,0 54 195 314
8,8330,651,True,4,0,0,0 29 118 690
9,8330,401,True,4,0,0,0 29 118 690
10,7656,94,True,4,0,0,0 54 195 314
11,8330,551,True,4,0,0,0 29 118 690
12,7656,45,True,4,0,0,0 54 195 314
13,8330,276,True,4,0,0,0 29 118 690
14,8330,626,True,4,0,0,0 29 118 690
15,7656,59,True,4,0,0,0 54 195 314
16,10080,351,True,4,0,0,0 44 144 459
17,7656,16,True,4,0,0,0 54 195 314
18,7656,9,True,4,0,0,0 54 195 314
19,7656,72,True,4,0,0,0 54 195 314
20,7656,71,True,4,0,0,0 54 195 314
21,7656,86,True,4,0,0,0 54 195 314
22,7684,501,True,5,0,0,0 55 132 557 961
23,8370,426,True,4,0,0,0 15 181 690
24,8330,426,True,4,0,0,0 29 118 690
25,7938,726,True,5,0,0,0 55 118 659 1044
26,7656,32,True,4,0,0,0 54 195 314
27,8330,326,True,4,0,0,0 29 118 690
28,7656,50,True,4,0,0,0 54 195 314
29,8330,351,True,4,0,0,0 29 118 690
